,n,p,sigma,sparsity,mu_norm,sig_norm,ols,stepwise,lasso,ES
0,50.0,50.0,0.7453559925,5.0,0.0,0.0,35.1809574408,0.561086321676,0.706763027471,0.543833386229
1,50.0,50.0,1.05409255339,10.0,0.0,0.0,18.6023716584,2.48415981087,3.96237719419,3.39112462516
2,50.0,50.0,1.490711985,20.0,0.0,0.0,287.888585839,9.53249420607,7.95404164308,13.3545509795
3,25.0,50.0,0.7453559925,5.0,0.0,0.0,2.465069423,0.568195317774,1.13617337831,0.935013596337
4,25.0,50.0,1.05409255339,10.0,0.0,0.0,11.9290960338,10.2252042215,14.2977076819,8.73577097798
5,25.0,50.0,1.490711985,20.0,0.0,0.0,17.175507625,16.7262368015,19.5709705684,28.1586510817
6,100.0,50.0,0.7453559925,5.0,0.0,0.0,1.28278652579,0.481246426224,0.498943211546,0.499056185787
7,100.0,50.0,1.05409255339,10.0,0.0,0.0,2.38308913466,1.31454364378,1.30207474818,1.20826990462
8,100.0,50.0,1.490711985,20.0,0.0,0.0,4.58549256057,3.92245142474,3.27544863098,2.95213576223
